"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Widgets","0","","6","0","","0"
"0","Elements","0","","6","0","","0"
"0","Alerts frames windows","0","","9","0","","0"
